classificacao,nome_robo,pontuacao_final,sobrevivencia,bonus_ultima_sobrevivencia,dano_disparo,bonus_disparo_morte,colisao_dano,bonus_colisao_morte,1lugar,2lugar,3lugar
1,sample.Crazy,784,650,0,116,2,16,0,0,0,1
1,sample.Corners,699,500,0,177,21,1,0,0,0,0
2,sample.Walls,659,450,0,196,7,6,0,0,0,0
2,sample.RamFire,647,350,0,198,0,53,46,0,0,0
2,sample.Target,550,550,0,0,0,0,0,0,0,0
2,sample.Interactive_v2,400,400,0,0,0,0,0,0,0,0
2,sample.Tracker,395,250,0,144,0,1,0,0,0,0
3,sample.PaintingRobot,364,300,0,64,0,0,0,0,0,0
3,sample.Interactive,200,200,0,0,0,0,0,0,0,0
3,sample.Fire,197,100,0,96,0,1,0,0,0,0
3,sample.SittingDuck,150,150,0,0,0,0,0,0,0,0
3,sample.VelociRobot,117,50,0,44,0,23,0,0,0,0
3,sample.MyFirstJuniorRobot,16,0,0,12,0,4,0,0,0,0
1,sample.Walls,1354,750,150,402,47,5,0,1,0,0
1,sample.Tracker,1082,700,0,318,61,4,0,0,1,0
1,sample.Fire,847,650,0,175,21,1,0,0,0,1
1,sample.SpinBot,725,500,0,208,0,17,0,0,0,0
1,sample.MyFirstRobot,689,600,0,85,3,1,0,0,0,0
2,sample.Crazy,648,550,0,84,0,14,0,0,0,0
2,sample.SittingDuck,450,450,0,0,0,0,0,0,0,0
2,sample.MyFirstJuniorRobot,449,350,0,90,1,7,0,0,0,0
2,sample.Interactive,400,400,0,0,0,0,0,0,0,0
2,sample.RamFire,375,150,0,138,0,60,27,0,0,0
3,sample.Corners,334,200,0,120,14,0,0,0,0,0
3,sample.PaintingRobot,327,250,0,76,0,1,0,0,0,0
3,sample.Target,300,300,0,0,0,0,0,0,0,0
3,sample.TrackFire,129,50,0,79,0,0,0,0,0,0
3,sample.Interactive_v2,100,100,0,0,0,0,0,0,0,0
3,sample.VelociRobot,25,0,0,8,0,17,0,0,0,0
1,sample.SpinBot,1236,750,150,311,21,5,0,1,0,0
1,sample.VelociRobot,1030,700,0,200,22,101,7,0,1,0
1,sample.Tracker,922,600,0,273,32,17,0,0,0,0
1,sample.PaintingRobot,748,650,0,94,1,2,0,0,0,1
1,sample.Walls,658,350,0,300,0,8,0,0,0,0
2,sample.Crazy,638,500,0,124,0,14,0,0,0,0
2,sample.Fire,603,450,0,152,0,1,0,0,0,0
2,sample.TrackFire,569,300,0,252,17,0,0,0,0,0
2,sample.Interactive_v2,550,550,0,0,0,0,0,0,0,0
2,sample.Interactive,400,400,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,308,250,0,56,0,2,0,0,0,0
3,sample.RamFire,250,50,0,106,0,54,40,0,0,0
3,sample.Target,202,200,0,0,0,2,0,0,0,0
3,sample.MyFirstJuniorRobot,182,150,0,32,0,0,0,0,0,0
3,sample.SittingDuck,100,100,0,0,0,0,0,0,0,0
3,sample.Corners,89,0,0,88,0,1,0,0,0,0
1,sample.Tracker,1556,750,150,541,109,6,0,1,0,0
1,sample.Corners,1005,600,0,377,28,0,0,0,0,0
1,sample.Crazy,855,700,0,144,0,11,0,0,1,0
1,sample.PaintingRobot,803,650,0,140,10,4,0,0,0,1
1,sample.TrackFire,640,400,0,220,20,0,0,0,0,0
2,sample.SpinBot,562,350,0,205,3,5,0,0,0,0
2,sample.Interactive,550,550,0,0,0,0,0,0,0,0
2,sample.Fire,505,300,0,185,19,0,0,0,0,0
2,sample.Target,502,500,0,0,0,2,0,0,0,0
2,sample.Interactive_v2,450,450,0,0,0,0,0,0,0,0
3,sample.VelociRobot,355,250,0,76,0,29,0,0,0,0
3,sample.MyFirstJuniorRobot,245,200,0,44,0,1,0,0,0,0
3,sample.RamFire,183,50,0,96,0,37,0,0,0,0
3,sample.SittingDuck,150,150,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,134,100,0,32,0,2,0,0,0,0
3,sample.Walls,81,0,0,80,0,1,0,0,0,0
1,sample.PaintingRobot,1035,750,150,132,2,1,0,1,0,0
1,sample.Fire,983,700,0,259,24,0,0,0,1,0
1,sample.RamFire,851,500,0,236,0,85,30,0,0,0
1,sample.SpinBot,825,550,0,260,0,16,0,0,0,0
1,sample.MyFirstRobot,783,650,0,131,1,0,0,0,0,1
2,sample.Crazy,713,600,0,97,5,11,0,0,0,0
2,sample.Corners,566,450,0,112,4,0,0,0,0,0
2,sample.TrackFire,533,400,0,125,7,0,0,0,0,0
2,sample.VelociRobot,524,350,0,106,0,67,0,0,0,0
2,sample.Tracker,490,200,0,240,0,50,0,0,0,0
3,sample.Interactive,300,300,0,0,0,0,0,0,0,0
3,sample.Target,252,250,0,0,0,2,0,0,0,0
3,sample.Walls,155,100,0,50,0,5,0,0,0,0
3,sample.SittingDuck,150,150,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,83,50,0,28,0,5,0,0,0,0
3,sample.Interactive_v2,0,0,0,0,0,0,0,0,0,0
1,sample.MyFirstRobot,1085,750,150,167,18,0,0,1,0,0
1,sample.Corners,1004,650,0,339,15,0,0,0,0,1
1,sample.Crazy,884,700,0,172,1,12,0,0,1,0
1,sample.VelociRobot,747,500,0,164,2,80,0,0,0,0
1,sample.PaintingRobot,739,600,0,133,3,4,0,0,0,0
2,sample.Fire,631,450,0,180,0,1,0,0,0,0
2,sample.Tracker,615,400,0,170,27,18,0,0,0,0
2,sample.TrackFire,605,350,0,222,33,0,0,0,0,0
2,sample.SittingDuck,550,550,0,0,0,0,0,0,0,0
2,sample.RamFire,350,150,0,138,0,31,31,0,0,0
3,sample.Interactive_v2,300,300,0,0,0,0,0,0,0,0
3,sample.Interactive,250,250,0,0,0,0,0,0,0,0
3,sample.SpinBot,217,50,0,144,0,23,0,0,0,0
3,sample.Target,202,200,0,0,0,2,0,0,0,0
3,sample.MyFirstJuniorRobot,175,100,0,68,0,7,0,0,0,0
3,sample.Walls,62,0,0,60,0,2,0,0,0,0
1,sample.Walls,1120,750,150,201,10,8,0,1,0,0
